Gender,Age,EmploymentStatus,NotificationType,Debt,HasPaid
1,41,0,0,283,0
0,37,2,0,432,1
0,40,2,0,1100,0
0,82,0,0,390,0
0,32,2,1,408,0
1,53,2,1,792,0
0,21,0,0,416,0
0,21,0,0,416,0
0,53,6,0,480,0
0,39,0,0,600,0
0,31,4,0,328,0
0,31,4,0,328,0
0,41,2,0,400,0
0,19,0,0,982,0
0,48,0,0,1024,0
0,57,0,0,1500,0
0,56,2,1,900,0
0,63,0,0,390,0
0,65,0,0,410,0
0,36,2,0,512,0
0,37,0,0,600,0
0,37,0,0,600,0
0,49,2,0,465,0
0,57,3,0,416,0
0,60,2,1,300,0
0,35,0,0,1100,0
0,45,0,0,429,0
0,30,2,0,756,0
0,30,2,0,756,0
0,48,1,0,550,0
0,48,1,0,550,0
0,35,0,0,520,0
0,50,2,0,169,0
0,62,0,0,600,0
0,28,0,0,468,1
0,36,2,0,392,0
0,71,0,0,390,0
0,71,0,0,390,0
1,25,0,0,300,1
0,66,0,0,700,0
0,49,2,1,550,0
0,30,0,0,561,0
1,50,0,0,548,0
1,50,0,0,548,0
0,61,0,0,1100,0
0,61,0,0,1100,0
0,22,2,0,736,0
1,27,2,1,300,1
0,56,2,0,482,0
0,48,2,0,400,1
0,28,4,0,600,0
0,55,2,1,1320,0
0,29,2,1,328,0
0,29,2,1,328,0
0,28,0,0,780,0
0,23,2,0,240,1
0,20,0,0,400,0
0,32,2,0,650,1
0,38,0,0,120,0
0,25,0,0,600,0
0,42,2,0,960,1
1,31,5,0,300,0
1,31,5,0,300,0
0,41,0,0,410,0
0,34,0,0,692,0
0,40,0,0,1305,0
0,40,0,0,1305,0
0,34,0,0,800,0
1,62,6,0,433,0
0,51,2,0,440,0
0,33,2,1,400,1
1,38,0,0,672,0
1,26,2,0,1239,0
0,31,2,0,550,0
0,26,3,0,273,0
0,44,2,1,506,0
0,46,2,1,896,0
0,34,2,0,313,0
0,54,0,0,1256,0
0,20,0,0,732,0
1,33,2,1,428,0
0,62,0,0,750,0
0,39,2,1,300,0
0,29,0,0,120,0
0,42,0,0,1344,1
0,34,2,1,900,0
0,42,2,0,480,0
0,26,0,0,300,1
0,35,2,0,1431,0
1,54,2,0,841,0
0,50,6,0,1100,0
0,29,0,0,832,0
